group_id,param_E,param_v,param_sigma_y,param_H,x,y,u,v,type
0,215585,0.302629,286.704,1675.64,19.5,3,-0.195024,0.093007,0
0,215585,0.302629,286.704,1675.64,20,3,-0.196615,0.0958885,0
0,215585,0.302629,286.704,1675.64,0,3.5,0.198694,0.097119,0
0,215585,0.302629,286.704,1675.64,0.5,3.5,0.197473,0.0954895,0
0,215585,0.302629,286.704,1675.64,1,3.5,0.195494,0.0932123,0
0,215585,0.302629,286.704,1675.64,1.5,3.5,0.192123,0.0903489,0
0,215585,0.302629,286.704,1675.64,2,3.5,0.187562,0.0865356,0
0,215585,0.302629,286.704,1675.64,2.5,3.5,0.180927,0.0819911,0
0,215585,0.302629,286.704,1675.64,3,3.5,0.173377,0.0773427,0
0,215585,0.302629,286.704,1675.64,3.5,3.5,0.163902,0.0725227,0
0,215585,0.302629,286.704,1675.64,4,3.5,0.154001,0.0688144,0
0,215585,0.302629,286.704,1675.64,4.5,3.5,0.143181,0.0658584,0
0,215585,0.302629,286.704,1675.64,5,3.5,0.132202,0.064036,0
0,215585,0.302629,286.704,1675.64,5.5,3.5,0.120531,0.0625695,0
0,215585,0.302629,286.704,1675.64,6,3.5,0.108536,0.0613035,0
0,215585,0.302629,286.704,1675.64,6.5,3.5,0.0959136,0.0595424,0
0,215585,0.302629,286.704,1675.64,7,3.5,0.0829994,0.0571446,0
0,215585,0.302629,286.704,1675.64,7.5,3.5,0.0697664,0.0538202,0
0,215585,0.302629,286.704,1675.64,8,3.5,0.0564593,0.0497037,0
0,215585,0.302629,286.704,1675.64,8.5,3.5,0.042985,0.045006,0
0,215585,0.302629,286.704,1675.64,9,3.5,0.0292085,0.0404322,0
0,215585,0.302629,286.704,1675.64,9.5,3.5,0.0148498,0.0369541,0
0,215585,0.302629,286.704,1675.64,10,3.5,1.45E-17,0.0356501,0
0,215585,0.302629,286.704,1675.64,10.5,3.5,-0.0148498,0.0369541,0
0,215585,0.302629,286.704,1675.64,11,3.5,-0.0292085,0.0404322,0
0,215585,0.302629,286.704,1675.64,11.5,3.5,-0.042985,0.045006,0
0,215585,0.302629,286.704,1675.64,12,3.5,-0.0564593,0.0497037,0
0,215585,0.302629,286.704,1675.64,12.5,3.5,-0.0697664,0.0538202,0
0,215585,0.302629,286.704,1675.64,13,3.5,-0.0829994,0.0571446,0
0,215585,0.302629,286.704,1675.64,13.5,3.5,-0.0959136,0.0595424,0
0,215585,0.302629,286.704,1675.64,14,3.5,-0.108536,0.0613035,0
0,215585,0.302629,286.704,1675.64,14.5,3.5,-0.120531,0.0625695,0
0,215585,0.302629,286.704,1675.64,15,3.5,-0.132202,0.064036,0
0,215585,0.302629,286.704,1675.64,15.5,3.5,-0.143181,0.0658584,0
